Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20251219|A|273372|15|738319|B,Q,N
20251219|AA|1562654|1251|2625061|B,Q,N
20251219|AAA|15|0|15495|Q,N
20251219|AAAA|2720|0|10959|Q
20251219|AAAU|89025|0|168586|B,Q,N
20251219|AACB|1|0|686|Q
20251219|AACBR|14|0|118|Q
20251219|AACBU|13|0|14|Q
20251219|AACG|1333|0|5122|Q
20251219|AADR|562|0|1269|Q
20251219|AAL|9787360|11245|22155574|B,Q,N
20251219|AALG|1224|0|4105|Q
20251219|AAM|7|0|23|Q
20251219|AAME|3026|0|12956|Q,N
20251219|AAMI|25061|0|41479|B,Q,N
20251219|AAOI|615947|0|1772088|B,Q,N
20251219|AAON|246123|0|460504|B,Q,N
20251219|AAP|350079|1413|582610|B,Q,N
20251219|AAPB|8661|0|14432|B,Q
20251219|AAPD|78506|0|140875|Q,N
20251219|AAPG|541|0|598|Q,N
20251219|AAPL|10268878|40126|22451362|B,Q,N
20251219|AAPU|266377|1521|479223|B,Q,N
20251219|AAPW|1728|0|5769|Q,N
20251219|AAPX|31041|0|40436|B,Q,N
20251219|AAPY|407|0|1601|Q
20251219|AARD|63610|715|116147|Q,N
20251219|AAT|76723|0|101719|Q,N
20251219|AAUC|537666|214|677073|B,Q,N
20251219|AAUM|1|0|14|Q
20251219|AAVM|1|0|12|Q
20251219|AAXJ|68523|0|286735|B,Q,N
20251219|AB|30754|3025|102394|B,Q,N
20251219|ABAT|1030581|331|2194324|B,Q,N
20251219|ABBV|1826264|551|3061355|B,Q,N
20251219|ABCB|60539|59|135697|Q,N
20251219|ABCL|514087|1861|1555763|B,Q,N
20251219|ABCS|1001|0|1002|Q
20251219|ABEO|182141|0|475758|B,Q,N
20251219|ABEQ|4052|0|4291|Q,N
20251219|ABEV|6867624|37020|13625174|B,Q,N
20251219|ABFL|19573|0|24087|Q,N
20251219|ABG|38404|0|62997|B,Q,N
20251219|ABI|4|0|8|Q
20251219|ABIG|866|0|866|Q
20251219|ABL|94950|0|273089|B,Q,N
20251219|ABLD|938|0|1850|Q
20251219|ABLG|1373|0|1429|Q
20251219|ABLLL|1664|0|2630|Q
20251219|ABLV|1588|0|1899|Q
20251219|ABLVW|1058|658|2627|Q
20251219|ABM|233548|3318|508542|B,Q,N
20251219|ABNB|825311|0|1797647|B,Q,N
20251219|ABNG|2|0|59|Q
20251219|ABNY|650|0|1410|Q,N
20251219|ABOS|41404|100|139262|B,Q
20251219|ABOT|1|0|4|Q
20251219|ABP|723|0|2757|B,Q,N
20251219|ABR|875572|7169|1872282|B,Q,N
20251219|ABRpD|4432|0|8184|Q
20251219|ABRpE|5432|0|6399|Q
20251219|ABRpF|1834|0|3893|Q
20251219|ABSI|707166|6666|1399057|B,Q,N
20251219|ABT|1300310|1188|2766265|B,Q,N
20251219|ABTC|6458419|27267|10109516|B,Q,N
20251219|ABTS|179|0|961|Q
20251219|ABUS|359428|0|468933|Q,N
20251219|ABVC|8080|0|63925|B,Q,N
20251219|ABVE|515566|55896|1005851|B,Q,N
20251219|ABVEW|17411|4097|30664|Q
20251219|ABVX|230509|3506|555709|B,Q,N
20251219|ABXB|103|0|157|Q,N
20251219|ACA|54363|0|83415|B,Q,N
20251219|ACAD|255239|14888|441287|B,Q,N
